stdno,name,gender,country,curriculum,scholarship,college,earned,classif,yearlevel,allowed,grp,npriority,nalternates,ncurrent
1694-39855,Dominic Langdon,F,1,BSA-2011,0,CA,15,1,1,19,3,9,2,0,
7942-79659,Alison Hodges,F,1,BSCS-2002-SP-PR,0,CAS,130,4,4,17,3,2,0,0,
8057-27458,Christian Welch,F,1,BSDC-2008,0,CDC,117,4,4,18,3,7,0,0,
5288-11301,Amy Ball,M,1,CertFor,0,CFNR,61,4,2,15,3,4,0,0,
0111-62352,Dominic Langdon,M,1,BSMATH-2002,0,CAS,124,4,4,18,3,1,0,0,
6798-69532,Matt Johnston,F,1,BSA-2002,0,CA,129,4,4,21,3,1,0,0,
8780-44908,Ian Wallace,M,1,BSABE-2011,0,CEAT,174,4,5,19,3,1,0,0,
2733-20154,Joshua Metcalfe,F,1,BSA-2002,0,CA,109,3,4,21,3,4,0,0,
3543-27884,Maria Hardacre,F,1,BSA-2002,0,CA,142,4,4,19,3,4,0,0,
5970-08646,Gabrielle Watson,F,1,DVM-2002,0,CVM,199,4,6,21,3,6,0,0,
6574-96218,Wendy Knox,F,1,BSA-2002,0,CA,147,4,4,19,3,2,0,0,
4326-32703,Dominic McLean,F,1,DVM-2002,0,CVM,213,4,6,21,3,3,0,0,
4629-18470,Stephen Chapman,M,1,BSF-2002,0,CFNR,123,4,4,21,3,5,0,0,
8086-35270,Andrew Churchill,M,1,BSSTAT-2002,0,CAS,140,4,4,18,3,1,0,0,
9856-14713,Sonia Berry,M,1,BSCHEM-2002,0,CAS,150,4,4,19,3,2,0,0,
9235-89382,Ella Vaughan,M,1,BSCE-2002,0,CEAT,142,4,5,20,3,6,1,0,
2602-92126,Dorothy Russell,M,1,BSCS-2002-SP-PR,0,CAS,98,3,4,17,3,6,3,0,
4543-30316,Liam Langdon,M,1,BSEE-2002,0,CEAT,181,4,5,19,3,1,0,0,
5939-11246,Jane Baker,M,1,BSF-2007,0,CFNR,111,3,4,18,3,6,2,0,
4010-80194,Connor Fisher,M,1,BSECO-2005,0,CEM,134,4,4,16,3,3,0,0,
5527-81050,Kevin Knox,F,1,BSECO-2002,0,CEM,94,3,4,19,3,6,1,0,
5042-78521,Adam Marshall,F,1,BSCE-2008,0,CEAT,139,3,5,20,3,4,0,0,
1383-70295,Irene Young,M,1,DVM-2002,0,CVM,194,4,6,21,3,6,1,0,
3516-63543,Wendy Wilkins,M,1,BSABM-2002,0,CEM,101,3,4,18,3,6,5,0,
3704-44490,Alexandra Clarkson,M,1,BSF-2002-PR,0,CFNR,143,4,4,24,3,1,0,0,
0352-59268,Dominic Langdon,M,1,BSAE-2006,0,CEAT,179,4,5,19,3,1,0,0,
